ACCOUNT_ID,RING_ID
A0,0
A1,0
A2,0
A3,0
A4,0
A5,0
A6,0
A7,0
A8,0
A9,0
A10,0
A11,0
A12,1
A13,1
A14,1
A15,1
A16,1
A17,1
A18,1
A19,1
A20,1
A21,1
A22,1
A23,1
A24,2
A25,2
A26,2
A27,2
A28,2
A29,2
A30,2
A31,2
A32,2
A33,2
A34,2
A35,2
A36,3
A37,3
A38,3
A39,3
A40,3
A41,3
A42,3
A43,3
A44,3
A45,3
A46,3
A47,3
A48,4
A49,4
A50,4
A51,4
A52,4
A53,4
A54,4
A55,4
A56,4
A57,4
A58,4
A59,4
A60,5
A61,5
A62,5
A63,5
A64,5
A65,5
A66,5
A67,5
A68,5
A69,5
A70,5
A71,5
A72,6
A73,6
A74,6
A75,6
A76,6
A77,6
A78,6
A79,6
A80,6
A81,6
A82,6
A83,6
A84,7
A85,7
A86,7
A87,7
A88,7
A89,7
A90,7
A91,7
A92,7
A93,7
A94,7
A95,7
A96,8
A97,8
A98,8
A99,8
A100,8
A101,8
A102,8
A103,8
A104,8
A105,8
A106,8
A107,8
A108,9
A109,9
A110,9
A111,9
A112,9
A113,9
A114,9
A115,9
A116,9
A117,9
A118,9
A119,9
A120,10
A121,10
A122,10
A123,10
A124,10
A125,10
A126,10
A127,10
A128,10
A129,10
A130,10
A131,10
A132,11
A133,11
A134,11
A135,11
A136,11
A137,11
A138,11
A139,11
A140,11
A141,11
A142,11
A143,11
