SENDER_ACCOUNT_ID,RECEIVER_ACCOUNT_ID,AMOUNT,TIMESTAMP
A1,A0,2000,1
A0,A1,2000,1
A2,A0,8000,8
A0,A2,8000,8
A3,A0,5000,5
A0,A3,5000,5
A4,A0,2000,22
A0,A4,2000,22
A5,A0,2000,19
A0,A5,2000,19
A6,A0,12000,2
A0,A6,12000,2
A7,A0,2000,3
A0,A7,2000,3
A8,A0,5000,8
A0,A8,5000,8
A9,A0,2000,18
A0,A9,2000,18
A10,A0,5000,23
A0,A10,5000,23
A11,A0,12000,8
A0,A11,12000,8
A13,A12,12000,19
A12,A13,12000,19
A14,A12,8000,26
A12,A14,8000,26
A15,A12,2000,25
A12,A15,2000,25
A16,A12,5000,23
A12,A16,5000,23
A17,A12,12000,11
A12,A17,12000,11
A18,A12,8000,5
A12,A18,8000,5
A19,A12,5000,25
A12,A19,5000,25
A20,A12,8000,4
A12,A20,8000,4
A21,A12,2000,13
A12,A21,2000,13
A22,A12,2000,12
A12,A22,2000,12
A23,A12,8000,20
A12,A23,8000,20
A25,A24,8000,26
A24,A25,8000,26
A26,A24,2000,24
A24,A26,2000,24
A27,A24,12000,18
A24,A27,12000,18
A28,A24,2000,30
A24,A28,2000,30
A29,A24,12000,3
A24,A29,12000,3
A30,A24,8000,27
A24,A30,8000,27
A31,A24,8000,19
A24,A31,8000,19
A32,A24,5000,23
A24,A32,5000,23
A33,A24,2000,2
A24,A33,2000,2
A34,A24,5000,25
A24,A34,5000,25
A35,A24,8000,3
A24,A35,8000,3
A37,A36,5000,28
A36,A37,5000,28
A38,A36,2000,13
A36,A38,2000,13
A39,A36,8000,15
A36,A39,8000,15
A40,A36,8000,6
A36,A40,8000,6
A41,A36,8000,12
A36,A41,8000,12
A42,A36,5000,22
A36,A42,5000,22
A43,A36,8000,23
A36,A43,8000,23
A44,A36,2000,20
A36,A44,2000,20
A45,A36,5000,18
A36,A45,5000,18
A46,A36,5000,6
A36,A46,5000,6
A47,A36,12000,13
A36,A47,12000,13
A49,A48,8000,30
A48,A49,8000,30
A50,A48,5000,22
A48,A50,5000,22
A51,A48,8000,27
A48,A51,8000,27
A52,A48,2000,8
A48,A52,2000,8
A53,A48,2000,26
A48,A53,2000,26
A54,A48,8000,13
A48,A54,8000,13
A55,A48,8000,3
A48,A55,8000,3
A56,A48,5000,30
A48,A56,5000,30
A57,A48,8000,7
A48,A57,8000,7
A58,A48,12000,13
A48,A58,12000,13
A59,A48,12000,5
A48,A59,12000,5
A61,A60,8000,5
A60,A61,8000,5
A62,A60,5000,24
A60,A62,5000,24
A63,A60,8000,24
A60,A63,8000,24
A64,A60,12000,29
A60,A64,12000,29
A65,A60,12000,12
A60,A65,12000,12
A66,A60,5000,5
A60,A66,5000,5
A67,A60,12000,3
A60,A67,12000,3
A68,A60,2000,28
A60,A68,2000,28
A69,A60,2000,5
A60,A69,2000,5
A70,A60,5000,26
A60,A70,5000,26
A71,A60,12000,20
A60,A71,12000,20
A73,A72,2000,13
A72,A73,2000,13
A74,A72,12000,20
A72,A74,12000,20
A75,A72,12000,17
A72,A75,12000,17
A76,A72,8000,18
A72,A76,8000,18
A77,A72,2000,22
A72,A77,2000,22
A78,A72,2000,22
A72,A78,2000,22
A79,A72,8000,25
A72,A79,8000,25
A80,A72,8000,4
A72,A80,8000,4
A81,A72,8000,14
A72,A81,8000,14
A82,A72,5000,15
A72,A82,5000,15
A83,A72,2000,24
A72,A83,2000,24
A85,A84,8000,17
A84,A85,8000,17
A86,A84,5000,17
A84,A86,5000,17
A87,A84,2000,28
A84,A87,2000,28
A88,A84,8000,27
A84,A88,8000,27
A89,A84,5000,5
A84,A89,5000,5
A90,A84,8000,25
A84,A90,8000,25
A91,A84,5000,18
A84,A91,5000,18
A92,A84,2000,20
A84,A92,2000,20
A93,A84,8000,16
A84,A93,8000,16
A94,A84,2000,4
A84,A94,2000,4
A95,A84,8000,29
A84,A95,8000,29
A97,A96,8000,8
A96,A97,8000,8
A98,A96,2000,8
A96,A98,2000,8
A99,A96,2000,3
A96,A99,2000,3
A100,A96,12000,27
A96,A100,12000,27
A101,A96,2000,25
A96,A101,2000,25
A102,A96,5000,5
A96,A102,5000,5
A103,A96,12000,18
A96,A103,12000,18
A104,A96,5000,9
A96,A104,5000,9
A105,A96,12000,7
A96,A105,12000,7
A106,A96,5000,23
A96,A106,5000,23
A107,A96,8000,13
A96,A107,8000,13
A109,A108,8000,15
A108,A109,8000,15
A110,A108,12000,4
A108,A110,12000,4
A111,A108,5000,8
A108,A111,5000,8
A112,A108,2000,11
A108,A112,2000,11
A113,A108,2000,19
A108,A113,2000,19
A114,A108,5000,19
A108,A114,5000,19
A115,A108,5000,1
A108,A115,5000,1
A116,A108,2000,23
A108,A116,2000,23
A117,A108,2000,8
A108,A117,2000,8
A118,A108,2000,29
A108,A118,2000,29
A119,A108,2000,28
A108,A119,2000,28
A121,A120,8000,3
A120,A121,8000,3
A122,A120,5000,9
A120,A122,5000,9
A123,A120,12000,7
A120,A123,12000,7
A124,A120,5000,24
A120,A124,5000,24
A125,A120,12000,8
A120,A125,12000,8
A126,A120,12000,26
A120,A126,12000,26
A127,A120,12000,7
A120,A127,12000,7
A128,A120,2000,4
A120,A128,2000,4
A129,A120,12000,12
A120,A129,12000,12
A130,A120,12000,14
A120,A130,12000,14
A131,A120,12000,28
A120,A131,12000,28
A133,A132,2000,22
A132,A133,2000,22
A134,A132,2000,2
A132,A134,2000,2
A135,A132,12000,24
A132,A135,12000,24
A136,A132,8000,26
A132,A136,8000,26
A137,A132,2000,8
A132,A137,2000,8
A138,A132,5000,7
A132,A138,5000,7
A139,A132,12000,5
A132,A139,12000,5
A140,A132,12000,6
A132,A140,12000,6
A141,A132,8000,15
A132,A141,8000,15
A142,A132,5000,28
A132,A142,5000,28
A143,A132,2000,15
A132,A143,2000,15
A96,A12,300,21
A96,A0,300,30
A36,A24,600,16
A84,A36,600,29
