ACCOUNT_ID,ACCOUNT_TYPE
R00C,TRANSFER
R00M0,TRANSFER
R00M1,TRANSFER
R00M2,TRANSFER
R00M3,TRANSFER
R00M4,TRANSFER
R00M5,TRANSFER
R00P0,TRANSFER
R00P1,TRANSFER
R00P2,TRANSFER
R01C,TRANSFER
R01M0,TRANSFER
R01M1,TRANSFER
R01M2,TRANSFER
R01M3,TRANSFER
R01M4,TRANSFER
R01M5,TRANSFER
R01P0,TRANSFER
R01P1,TRANSFER
R01P2,TRANSFER
R02C,TRANSFER
R02M0,TRANSFER
R02M1,TRANSFER
R02M2,TRANSFER
R02M3,TRANSFER
R02M4,TRANSFER
R02M5,TRANSFER
R02P0,TRANSFER
R02P1,TRANSFER
R02P2,TRANSFER
R03C,TRANSFER
R03M0,TRANSFER
R03M1,TRANSFER
R03M2,TRANSFER
R03M3,TRANSFER
R03M4,TRANSFER
R03M5,TRANSFER
R03P0,TRANSFER
R03P1,TRANSFER
R03P2,TRANSFER
R04C,TRANSFER
R04M0,TRANSFER
R04M1,TRANSFER
R04M2,TRANSFER
R04M3,TRANSFER
R04M4,TRANSFER
R04M5,TRANSFER
R04P0,TRANSFER
R04P1,TRANSFER
R04P2,TRANSFER
R05C,TRANSFER
R05M0,TRANSFER
R05M1,TRANSFER
R05M2,TRANSFER
R05M3,TRANSFER
R05M4,TRANSFER
R05M5,TRANSFER
R05P0,TRANSFER
R05P1,TRANSFER
R05P2,TRANSFER
R06C,TRANSFER
R06M0,TRANSFER
R06M1,TRANSFER
R06M2,TRANSFER
R06M3,TRANSFER
R06M4,TRANSFER
R06M5,TRANSFER
R06P0,TRANSFER
R06P1,TRANSFER
R06P2,TRANSFER
R07C,TRANSFER
R07M0,TRANSFER
R07M1,TRANSFER
R07M2,TRANSFER
R07M3,TRANSFER
R07M4,TRANSFER
R07M5,TRANSFER
R07P0,TRANSFER
R07P1,TRANSFER
R07P2,TRANSFER
N0000,TRANSFER
N0001,TRANSFER
N0002,TRANSFER
N0003,TRANSFER
N0004,TRANSFER
N0005,TRANSFER
N0006,TRANSFER
N0007,TRANSFER
N0008,TRANSFER
N0009,TRANSFER
N0010,TRANSFER
N0011,TRANSFER
N0012,TRANSFER
N0013,TRANSFER
N0014,TRANSFER
N0015,TRANSFER
N0016,TRANSFER
N0017,TRANSFER
N0018,TRANSFER
N0019,TRANSFER
N0020,TRANSFER
N0021,TRANSFER
N0022,TRANSFER
N0023,TRANSFER
N0024,TRANSFER
N0025,TRANSFER
N0026,TRANSFER
N0027,TRANSFER
N0028,TRANSFER
N0029,TRANSFER
N0030,TRANSFER
N0031,TRANSFER
N0032,TRANSFER
N0033,TRANSFER
N0034,TRANSFER
N0035,TRANSFER
N0036,TRANSFER
N0037,TRANSFER
N0038,TRANSFER
N0039,TRANSFER
N0040,TRANSFER
N0041,TRANSFER
N0042,TRANSFER
N0043,TRANSFER
N0044,TRANSFER
N0045,TRANSFER
N0046,TRANSFER
N0047,TRANSFER
N0048,TRANSFER
N0049,TRANSFER
N0050,TRANSFER
N0051,TRANSFER
N0052,TRANSFER
N0053,TRANSFER
N0054,TRANSFER
N0055,TRANSFER
N0056,TRANSFER
N0057,TRANSFER
N0058,TRANSFER
N0059,TRANSFER
N0060,TRANSFER
N0061,TRANSFER
N0062,TRANSFER
N0063,TRANSFER
N0064,TRANSFER
N0065,TRANSFER
N0066,TRANSFER
N0067,TRANSFER
N0068,TRANSFER
N0069,TRANSFER
N0070,TRANSFER
N0071,TRANSFER
N0072,TRANSFER
N0073,TRANSFER
N0074,TRANSFER
N0075,TRANSFER
N0076,TRANSFER
N0077,TRANSFER
N0078,TRANSFER
N0079,TRANSFER
N0080,TRANSFER
N0081,TRANSFER
N0082,TRANSFER
N0083,TRANSFER
N0084,TRANSFER
N0085,TRANSFER
N0086,TRANSFER
N0087,TRANSFER
N0088,TRANSFER
N0089,TRANSFER
N0090,TRANSFER
N0091,TRANSFER
N0092,TRANSFER
N0093,TRANSFER
N0094,TRANSFER
N0095,TRANSFER
N0096,TRANSFER
N0097,TRANSFER
N0098,TRANSFER
N0099,TRANSFER
N0100,TRANSFER
N0101,TRANSFER
N0102,TRANSFER
N0103,TRANSFER
N0104,TRANSFER
N0105,TRANSFER
N0106,TRANSFER
N0107,TRANSFER
N0108,TRANSFER
N0109,TRANSFER
N0110,TRANSFER
N0111,TRANSFER
N0112,TRANSFER
N0113,TRANSFER
N0114,TRANSFER
N0115,TRANSFER
N0116,TRANSFER
N0117,TRANSFER
N0118,TRANSFER
N0119,TRANSFER
N0120,TRANSFER
N0121,TRANSFER
N0122,TRANSFER
N0123,TRANSFER
N0124,TRANSFER
N0125,TRANSFER
N0126,TRANSFER
N0127,TRANSFER
N0128,TRANSFER
N0129,TRANSFER
N0130,TRANSFER
N0131,TRANSFER
N0132,TRANSFER
N0133,TRANSFER
N0134,TRANSFER
N0135,TRANSFER
N0136,TRANSFER
N0137,TRANSFER
N0138,TRANSFER
N0139,TRANSFER
N0140,TRANSFER
N0141,TRANSFER
N0142,TRANSFER
N0143,TRANSFER
N0144,TRANSFER
N0145,TRANSFER
N0146,TRANSFER
N0147,TRANSFER
N0148,TRANSFER
N0149,TRANSFER
N0150,TRANSFER
N0151,TRANSFER
N0152,TRANSFER
N0153,TRANSFER
N0154,TRANSFER
N0155,TRANSFER
N0156,TRANSFER
N0157,TRANSFER
N0158,TRANSFER
N0159,TRANSFER
N0160,TRANSFER
N0161,TRANSFER
N0162,TRANSFER
N0163,TRANSFER
N0164,TRANSFER
N0165,TRANSFER
N0166,TRANSFER
N0167,TRANSFER
N0168,TRANSFER
N0169,TRANSFER
N0170,TRANSFER
N0171,TRANSFER
N0172,TRANSFER
N0173,TRANSFER
N0174,TRANSFER
N0175,TRANSFER
N0176,TRANSFER
N0177,TRANSFER
N0178,TRANSFER
N0179,TRANSFER
N0180,TRANSFER
N0181,TRANSFER
N0182,TRANSFER
N0183,TRANSFER
N0184,TRANSFER
N0185,TRANSFER
N0186,TRANSFER
N0187,TRANSFER
N0188,TRANSFER
N0189,TRANSFER
N0190,TRANSFER
N0191,TRANSFER
N0192,TRANSFER
N0193,TRANSFER
N0194,TRANSFER
N0195,TRANSFER
N0196,TRANSFER
N0197,TRANSFER
N0198,TRANSFER
N0199,TRANSFER
