TX_ID,ALERT
T0000001,1
T0000002,1
T0000003,1
T0000004,1
T0000005,1
T0000006,1
T0000007,1
T0000008,1
T0000009,1
T0000010,1
T0000011,1
T0000012,1
T0000013,1
T0000014,1
T0000015,1
T0000016,1
T0000017,1
T0000018,1
T0000019,1
T0000020,1
T0000021,1
T0000022,1
T0000023,1
T0000024,1
T0000025,1
T0000026,1
T0000027,1
T0000028,1
T0000029,1
T0000030,1
T0000031,1
T0000032,1
T0000033,1
T0000034,1
T0000035,1
T0000036,1
T0000037,1
T0000038,1
T0000039,1
T0000040,1
T0000041,1
T0000042,1
T0000043,1
T0000044,1
T0000045,1
T0000046,1
T0000047,1
T0000048,1
T0000049,1
T0000050,1
T0000051,1
T0000052,1
T0000053,1
T0000054,1
T0000055,1
T0000056,1
T0000057,1
T0000058,1
T0000059,1
T0000060,1
T0000061,1
T0000062,1
T0000063,1
T0000064,1
T0000065,1
T0000066,1
T0000067,1
T0000068,1
T0000069,1
T0000070,1
T0000071,1
T0000072,1
