ACCOUNT_ID,RING_ID
R00C,0
R00M0,0
R00M1,0
R00M2,0
R00M3,0
R00M4,0
R00M5,0
R00P0,0
R00P1,0
R00P2,0
R01C,1
R01M0,1
R01M1,1
R01M2,1
R01M3,1
R01M4,1
R01M5,1
R01P0,1
R01P1,1
R01P2,1
R02C,2
R02M0,2
R02M1,2
R02M2,2
R02M3,2
R02M4,2
R02M5,2
R02P0,2
R02P1,2
R02P2,2
R03C,3
R03M0,3
R03M1,3
R03M2,3
R03M3,3
R03M4,3
R03M5,3
R03P0,3
R03P1,3
R03P2,3
R04C,4
R04M0,4
R04M1,4
R04M2,4
R04M3,4
R04M4,4
R04M5,4
R04P0,4
R04P1,4
R04P2,4
R05C,5
R05M0,5
R05M1,5
R05M2,5
R05M3,5
R05M4,5
R05M5,5
R05P0,5
R05P1,5
R05P2,5
R06C,6
R06M0,6
R06M1,6
R06M2,6
R06M3,6
R06M4,6
R06M5,6
R06P0,6
R06P1,6
R06P2,6
R07C,7
R07M0,7
R07M1,7
R07M2,7
R07M3,7
R07M4,7
R07M5,7
R07P0,7
R07P1,7
R07P2,7
N0000,-1
N0001,-1
N0002,-1
N0003,-1
N0004,-1
N0005,-1
N0006,-1
N0007,-1
N0008,-1
N0009,-1
N0010,-1
N0011,-1
N0012,-1
N0013,-1
N0014,-1
N0015,-1
N0016,-1
N0017,-1
N0018,-1
N0019,-1
N0020,-1
N0021,-1
N0022,-1
N0023,-1
N0024,-1
N0025,-1
N0026,-1
N0027,-1
N0028,-1
N0029,-1
N0030,-1
N0031,-1
N0032,-1
N0033,-1
N0034,-1
N0035,-1
N0036,-1
N0037,-1
N0038,-1
N0039,-1
N0040,-1
N0041,-1
N0042,-1
N0043,-1
N0044,-1
N0045,-1
N0046,-1
N0047,-1
N0048,-1
N0049,-1
N0050,-1
N0051,-1
N0052,-1
N0053,-1
N0054,-1
N0055,-1
N0056,-1
N0057,-1
N0058,-1
N0059,-1
N0060,-1
N0061,-1
N0062,-1
N0063,-1
N0064,-1
N0065,-1
N0066,-1
N0067,-1
N0068,-1
N0069,-1
N0070,-1
N0071,-1
N0072,-1
N0073,-1
N0074,-1
N0075,-1
N0076,-1
N0077,-1
N0078,-1
N0079,-1
N0080,-1
N0081,-1
N0082,-1
N0083,-1
N0084,-1
N0085,-1
N0086,-1
N0087,-1
N0088,-1
N0089,-1
N0090,-1
N0091,-1
N0092,-1
N0093,-1
N0094,-1
N0095,-1
N0096,-1
N0097,-1
N0098,-1
N0099,-1
N0100,-1
N0101,-1
N0102,-1
N0103,-1
N0104,-1
N0105,-1
N0106,-1
N0107,-1
N0108,-1
N0109,-1
N0110,-1
N0111,-1
N0112,-1
N0113,-1
N0114,-1
N0115,-1
N0116,-1
N0117,-1
N0118,-1
N0119,-1
N0120,-1
N0121,-1
N0122,-1
N0123,-1
N0124,-1
N0125,-1
N0126,-1
N0127,-1
N0128,-1
N0129,-1
N0130,-1
N0131,-1
N0132,-1
N0133,-1
N0134,-1
N0135,-1
N0136,-1
N0137,-1
N0138,-1
N0139,-1
N0140,-1
N0141,-1
N0142,-1
N0143,-1
N0144,-1
N0145,-1
N0146,-1
N0147,-1
N0148,-1
N0149,-1
N0150,-1
N0151,-1
N0152,-1
N0153,-1
N0154,-1
N0155,-1
N0156,-1
N0157,-1
N0158,-1
N0159,-1
N0160,-1
N0161,-1
N0162,-1
N0163,-1
N0164,-1
N0165,-1
N0166,-1
N0167,-1
N0168,-1
N0169,-1
N0170,-1
N0171,-1
N0172,-1
N0173,-1
N0174,-1
N0175,-1
N0176,-1
N0177,-1
N0178,-1
N0179,-1
N0180,-1
N0181,-1
N0182,-1
N0183,-1
N0184,-1
N0185,-1
N0186,-1
N0187,-1
N0188,-1
N0189,-1
N0190,-1
N0191,-1
N0192,-1
N0193,-1
N0194,-1
N0195,-1
N0196,-1
N0197,-1
N0198,-1
N0199,-1
