TX_ID,TIMESTAMP,SENDER_ACCOUNT_ID,RECEIVER_ACCOUNT_ID,AMOUNT,TX_TYPE
T0000001,1,R00M0,R00C,52957.01,TRANSFER
T0000002,2,R00M1,R00C,6875.81,TRANSFER
T0000003,3,R00M2,R00C,25627.20,TRANSFER
T0000004,4,R00M3,R00C,21740.81,TRANSFER
T0000005,5,R00M4,R00C,60235.34,TRANSFER
T0000006,6,R00M5,R00C,55752.46,TRANSFER
T0000007,7,R00C,R00P0,135983.34,TRANSFER
T0000008,8,R00C,R00P1,31302.05,TRANSFER
T0000009,9,R00C,R00P2,74849.84,TRANSFER
T0000010,10,R01M0,R01C,7234.79,TRANSFER
T0000011,11,R01M1,R01C,21397.85,TRANSFER
T0000012,12,R01M2,R01C,42901.65,TRANSFER
T0000013,13,R01M3,R01C,6990.20,TRANSFER
T0000014,14,R01M4,R01C,19912.82,TRANSFER
T0000015,15,R01M5,R01C,53741.33,TRANSFER
T0000016,16,R01C,R01P0,90842.39,TRANSFER
T0000017,17,R01C,R01P1,48657.28,TRANSFER
T0000018,18,R01C,R01P2,96604.54,TRANSFER
T0000019,19,R02M0,R02C,65707.28,TRANSFER
T0000020,20,R02M1,R02C,5487.41,TRANSFER
T0000021,21,R02M2,R02C,65436.44,TRANSFER
T0000022,22,R02M3,R02C,57360.45,TRANSFER
T0000023,23,R02M4,R02C,30518.79,TRANSFER
T0000024,24,R02M5,R02C,16660.96,TRANSFER
T0000025,25,R02C,R02P0,144437.70,TRANSFER
T0000026,26,R02C,R02P1,63757.29,TRANSFER
T0000027,27,R02C,R02P2,32056.96,TRANSFER
T0000028,28,R03M0,R03C,12253.73,TRANSFER
T0000029,29,R03M1,R03C,68562.08,TRANSFER
T0000030,30,R03M2,R03C,50279.45,TRANSFER
T0000031,31,R03M3,R03C,65534.62,TRANSFER
T0000032,32,R03M4,R03C,59729.88,TRANSFER
T0000033,33,R03M5,R03C,45217.11,TRANSFER
T0000034,34,R03C,R03P0,146505.05,TRANSFER
T0000035,35,R03C,R03P1,69209.47,TRANSFER
T0000036,36,R03C,R03P2,91765.28,TRANSFER
T0000037,37,R04M0,R04C,67205.35,TRANSFER
T0000038,38,R04M1,R04C,51388.98,TRANSFER
T0000039,39,R04M2,R04C,69628.02,TRANSFER
T0000040,40,R04M3,R04C,48301.41,TRANSFER
T0000041,41,R04M4,R04C,57842.89,TRANSFER
T0000042,42,R04M5,R04C,8436.83,TRANSFER
T0000043,43,R04C,R04P0,49626.78,TRANSFER
T0000044,44,R04C,R04P1,57620.44,TRANSFER
T0000045,45,R04C,R04P2,30372.96,TRANSFER
T0000046,46,R05M0,R05C,22459.32,TRANSFER
T0000047,47,R05M1,R05C,12575.11,TRANSFER
T0000048,48,R05M2,R05C,25848.02,TRANSFER
T0000049,49,R05M3,R05C,52676.33,TRANSFER
T0000050,50,R05M4,R05C,32362.41,TRANSFER
T0000051,51,R05M5,R05C,32763.57,TRANSFER
T0000052,52,R05C,R05P0,47235.91,TRANSFER
T0000053,53,R05C,R05P1,54707.12,TRANSFER
T0000054,54,R05C,R05P2,141765.10,TRANSFER
T0000055,55,R06M0,R06C,53602.65,TRANSFER
T0000056,56,R06M1,R06C,50684.83,TRANSFER
T0000057,57,R06M2,R06C,17835.40,TRANSFER
T0000058,58,R06M3,R06C,59684.51,TRANSFER
T0000059,59,R06M4,R06C,17255.19,TRANSFER
T0000060,60,R06M5,R06C,33459.16,TRANSFER
T0000061,61,R06C,R06P0,148638.04,TRANSFER
T0000062,62,R06C,R06P1,103199.97,TRANSFER
T0000063,63,R06C,R06P2,92403.47,TRANSFER
T0000064,64,R07M0,R07C,56346.07,TRANSFER
T0000065,65,R07M1,R07C,68213.89,TRANSFER
T0000066,66,R07M2,R07C,63199.99,TRANSFER
T0000067,67,R07M3,R07C,22178.61,TRANSFER
T0000068,68,R07M4,R07C,7407.52,TRANSFER
T0000069,69,R07M5,R07C,28658.98,TRANSFER
T0000070,70,R07C,R07P0,54806.31,TRANSFER
T0000071,71,R07C,R07P1,47427.77,TRANSFER
T0000072,72,R07C,R07P2,142578.26,TRANSFER
T0000073,73,R04C,R02P0,26906.67,TRANSFER
T0000074,74,R05C,R06P1,7429.12,TRANSFER
T0000075,75,R01P0,R04M0,30309.58,TRANSFER
T0000076,76,R06P1,R03M2,30386.52,TRANSFER
T0000077,77,R05M3,R06M0,15755.86,TRANSFER
T0000078,78,R01P0,R07M4,20753.60,TRANSFER
T0000079,79,R00M5,R02M3,7807.97,TRANSFER
T0000080,80,R02C,R06M3,24663.54,TRANSFER
T0000081,81,N0098,N0097,29996.48,TRANSFER
T0000082,82,N0119,N0135,12945.00,TRANSFER
T0000083,83,N0141,N0002,34174.03,TRANSFER
T0000084,84,N0029,N0174,44297.03,TRANSFER
T0000085,85,N0192,N0068,38545.64,TRANSFER
T0000086,86,N0087,N0028,15028.26,TRANSFER
T0000087,87,N0040,N0116,660.64,TRANSFER
T0000088,88,N0067,N0128,38217.13,TRANSFER
T0000089,89,N0129,N0027,43590.67,TRANSFER
T0000090,90,N0076,N0163,25629.31,TRANSFER
T0000091,91,N0050,N0039,19008.74,TRANSFER
T0000092,92,N0041,N0138,47698.24,TRANSFER
T0000093,93,N0135,N0000,30147.76,TRANSFER
T0000094,94,N0125,N0004,6037.45,TRANSFER
T0000095,95,N0092,N0078,12352.89,TRANSFER
T0000096,96,N0061,N0145,47374.00,TRANSFER
T0000097,97,N0021,N0187,24556.53,TRANSFER
T0000098,98,N0017,N0194,26868.96,TRANSFER
T0000099,99,N0168,N0121,47369.01,TRANSFER
T0000100,100,N0042,N0067,26619.85,TRANSFER
T0000101,101,N0155,N0108,48235.96,TRANSFER
T0000102,102,N0138,N0193,36631.59,TRANSFER
T0000103,103,N0051,N0182,15929.96,TRANSFER
T0000104,104,N0171,N0166,18984.31,TRANSFER
T0000105,105,N0132,N0115,6489.71,TRANSFER
T0000106,106,N0057,N0016,17235.24,TRANSFER
T0000107,107,N0150,N0141,11890.68,TRANSFER
T0000108,108,N0056,N0001,4014.16,TRANSFER
T0000109,109,N0161,N0015,11832.62,TRANSFER
T0000110,110,N0008,N0084,4007.44,TRANSFER
T0000111,111,N0060,N0071,33614.40,TRANSFER
T0000112,112,N0054,N0138,7049.44,TRANSFER
T0000113,113,N0146,N0147,23897.22,TRANSFER
T0000114,114,N0121,N0104,9925.29,TRANSFER
T0000115,115,N0024,N0168,21837.03,TRANSFER
T0000116,116,N0108,N0105,23617.72,TRANSFER
T0000117,117,N0186,N0013,33831.55,TRANSFER
T0000118,118,N0165,N0025,3500.33,TRANSFER
T0000119,119,N0186,N0086,40129.33,TRANSFER
T0000120,120,N0027,N0063,9983.71,TRANSFER
T0000121,121,N0137,N0114,7439.02,TRANSFER
T0000122,122,N0046,N0071,23400.09,TRANSFER
T0000123,123,N0019,N0113,40497.10,TRANSFER
T0000124,124,N0140,N0025,3004.12,TRANSFER
T0000125,125,N0138,N0003,48465.31,TRANSFER
T0000126,126,N0192,N0060,8732.40,TRANSFER
T0000127,127,N0124,N0123,11080.49,TRANSFER
T0000128,128,N0102,N0015,8649.54,TRANSFER
T0000129,129,N0000,N0099,13627.55,TRANSFER
T0000130,130,N0116,N0073,21438.87,TRANSFER
T0000131,131,N0187,N0142,33262.63,TRANSFER
T0000132,132,N0124,N0039,9899.94,TRANSFER
T0000133,133,N0055,N0014,29169.42,TRANSFER
T0000134,134,N0138,N0015,37524.79,TRANSFER
T0000135,135,N0014,N0012,29416.79,TRANSFER
T0000136,136,N0128,N0135,8292.92,TRANSFER
T0000137,137,N0130,N0020,42641.46,TRANSFER
T0000138,138,N0017,N0152,3864.06,TRANSFER
T0000139,139,N0060,N0103,6434.39,TRANSFER
T0000140,140,N0145,N0063,29156.49,TRANSFER
T0000141,141,N0010,N0158,4558.18,TRANSFER
T0000142,142,N0168,N0149,28478.73,TRANSFER
T0000143,143,N0080,N0066,10610.83,TRANSFER
T0000144,144,N0183,N0080,12314.95,TRANSFER
T0000145,145,N0101,N0033,33748.67,TRANSFER
T0000146,146,N0076,N0117,16150.77,TRANSFER
T0000147,147,N0192,N0018,961.12,TRANSFER
T0000148,148,N0159,N0144,49806.77,TRANSFER
T0000149,149,N0018,N0137,11051.14,TRANSFER
T0000150,150,N0067,N0033,46696.34,TRANSFER
T0000151,151,N0017,N0062,18791.59,TRANSFER
T0000152,152,N0040,N0112,41770.38,TRANSFER
T0000153,153,N0180,N0077,30778.05,TRANSFER
T0000154,154,N0167,N0135,887.24,TRANSFER
T0000155,155,N0141,N0076,46621.92,TRANSFER
T0000156,156,N0026,N0034,13591.06,TRANSFER
T0000157,157,N0027,N0190,27884.57,TRANSFER
T0000158,158,N0069,N0072,30439.08,TRANSFER
T0000159,159,N0183,N0087,10578.07,TRANSFER
T0000160,160,N0162,N0067,25517.75,TRANSFER
T0000161,161,N0064,N0013,5068.77,TRANSFER
T0000162,162,N0108,N0070,2682.29,TRANSFER
T0000163,163,N0085,N0197,6975.57,TRANSFER
T0000164,164,N0067,N0041,37190.93,TRANSFER
T0000165,165,N0141,N0180,21670.50,TRANSFER
T0000166,166,N0002,N0028,4224.57,TRANSFER
T0000167,167,N0176,N0038,27506.72,TRANSFER
T0000168,168,N0094,N0149,27849.99,TRANSFER
T0000169,169,N0110,N0032,2570.53,TRANSFER
T0000170,170,N0093,N0010,44996.77,TRANSFER
T0000171,171,N0053,N0174,12851.72,TRANSFER
T0000172,172,N0026,N0090,39115.75,TRANSFER
T0000173,173,N0104,N0158,37599.14,TRANSFER
T0000174,174,N0060,N0041,48822.20,TRANSFER
T0000175,175,N0045,N0105,1726.92,TRANSFER
T0000176,176,N0188,N0085,39228.13,TRANSFER
T0000177,177,N0105,N0171,43271.17,TRANSFER
T0000178,178,N0063,N0068,8380.29,TRANSFER
T0000179,179,N0179,N0027,19435.82,TRANSFER
T0000180,180,N0009,N0120,11510.47,TRANSFER
T0000181,181,N0117,N0089,15606.95,TRANSFER
T0000182,182,N0058,N0057,1671.39,TRANSFER
T0000183,183,N0049,N0102,16748.97,TRANSFER
T0000184,184,N0017,N0197,14316.69,TRANSFER
T0000185,185,N0164,N0130,20284.08,TRANSFER
T0000186,186,N0137,N0084,46992.24,TRANSFER
T0000187,187,N0029,N0066,9339.11,TRANSFER
T0000188,188,N0067,N0009,5865.93,TRANSFER
T0000189,189,N0111,N0088,36562.98,TRANSFER
T0000190,190,N0080,N0111,30507.34,TRANSFER
T0000191,191,N0130,N0029,19567.17,TRANSFER
T0000192,192,N0147,N0048,13108.76,TRANSFER
T0000193,193,N0181,N0111,583.72,TRANSFER
T0000194,194,N0137,N0175,36111.78,TRANSFER
T0000195,195,N0189,N0188,33696.11,TRANSFER
T0000196,196,N0093,N0110,3963.70,TRANSFER
T0000197,197,N0170,N0084,31346.19,TRANSFER
T0000198,198,N0169,N0031,36127.84,TRANSFER
T0000199,199,N0076,N0129,15809.59,TRANSFER
T0000200,200,N0104,N0083,20418.82,TRANSFER
T0000201,201,N0075,N0141,6800.75,TRANSFER
T0000202,202,N0107,N0170,47048.00,TRANSFER
T0000203,203,N0173,N0191,45188.87,TRANSFER
T0000204,204,N0157,N0145,15397.02,TRANSFER
T0000205,205,N0140,N0000,15541.81,TRANSFER
T0000206,206,N0053,N0110,39395.06,TRANSFER
T0000207,207,N0155,N0167,16451.34,TRANSFER
T0000208,208,N0172,N0054,25803.11,TRANSFER
T0000209,209,N0188,N0043,33113.11,TRANSFER
T0000210,210,N0072,N0131,33360.76,TRANSFER
T0000211,211,N0158,N0085,5122.67,TRANSFER
T0000212,212,N0192,N0060,33803.39,TRANSFER
T0000213,213,N0057,N0050,7794.02,TRANSFER
T0000214,214,N0011,N0062,49204.83,TRANSFER
T0000215,215,N0156,N0196,4105.00,TRANSFER
T0000216,216,N0106,N0161,28995.71,TRANSFER
T0000217,217,N0183,N0178,19506.93,TRANSFER
T0000218,218,N0102,N0062,7804.78,TRANSFER
T0000219,219,N0176,N0001,44686.66,TRANSFER
T0000220,220,N0197,N0027,39031.81,TRANSFER
T0000221,221,N0056,N0045,40303.44,TRANSFER
T0000222,222,N0178,N0132,23495.22,TRANSFER
T0000223,223,N0142,N0063,45914.77,TRANSFER
T0000224,224,N0031,N0116,7100.29,TRANSFER
T0000225,225,N0118,N0170,26791.03,TRANSFER
T0000226,226,N0143,N0152,16206.25,TRANSFER
T0000227,227,N0193,N0113,30826.29,TRANSFER
T0000228,228,N0184,N0129,21623.67,TRANSFER
T0000229,229,N0140,N0114,44911.80,TRANSFER
T0000230,230,N0190,N0121,22778.45,TRANSFER
T0000231,231,N0192,N0063,42073.21,TRANSFER
T0000232,232,N0070,N0196,38994.90,TRANSFER
T0000233,233,N0124,N0160,12342.67,TRANSFER
T0000234,234,N0112,N0019,35820.47,TRANSFER
T0000235,235,N0060,N0069,17124.45,TRANSFER
T0000236,236,N0138,N0020,7349.52,TRANSFER
T0000237,237,N0059,N0098,34850.52,TRANSFER
T0000238,238,R02P0,N0016,13031.17,TRANSFER
T0000239,239,R04M1,N0138,14511.80,TRANSFER
T0000240,240,R00P0,N0052,25153.84,TRANSFER
T0000241,241,R04P2,N0197,17938.30,TRANSFER
